symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00070000,-1.154,0.06022196,0.06066000,0.05995000,0.06080000,0.05995000,23.88910000,0.05996000,11.74780000,0.06065000,0.06069000,0.05982900,16592.41060000,999.22755067,1695146802877,1695233202877,423148396,423177905,29510
LTCBTC,-0.00009300,-3.736,0.00242804,0.00248900,0.00239600,0.22400000,0.00239500,30.18300000,0.00239600,6.80100000,0.00248900,0.00249100,0.00236900,91189.99900000,221.41299116,1695146802902,1695233202902,93545009,93560454,15446
BNBBTC,-0.00004900,-0.613,0.00797158,0.00799300,0.00794400,1.01200000,0.00794300,3.53100000,0.00794400,6.63300000,0.00799300,0.00800700,0.00792000,15462.31700000,123.25908513,1695146802535,1695233202535,227212937,227235010,22074
NEOBTC,-0.00000390,-1.390,0.00028041,0.00028010,0.00027660,4.41000000,0.00027620,1.61000000,0.00027660,7.79000000,0.00028050,0.00028550,0.00027490,12629.55000000,3.54143688,1695146798304,1695233198304,45517185,45520990,3806
QTUMETH,0.00000600,0.443,0.00134472,0.00135500,0.00136000,26.20000000,0.00135500,90.60000000,0.00136000,7.70000000,0.00135400,0.00136100,0.00134100,815.50000000,1.09661710,1695146797561,1695233197561,5402177,5402208,32
EOSETH,-0.00000050,-0.141,0.00035268,0.00035270,0.00035300,19.10000000,0.00035290,29.80000000,0.00035370,141.40000000,0.00035350,0.00035570,0.00034960,11141.50000000,3.92937434,1695146793866,1695233193866,23498149,23498283,135
SNTETH,0.00000022,1.601,0.00001398,0.00001370,0.00001396,438.00000000,0.00001395,8804.00000000,0.00001399,8801.00000000,0.00001374,0.00001416,0.00001360,473916.00000000,6.62704194,1695146800327,1695233200327,3906955,3907348,394
BNTETH,-0.00000230,-0.913,0.00025153,0.00025100,0.00024950,158.10000000,0.00025050,245.20000000,0.00025170,149.80000000,0.00025180,0.00025330,0.00024950,1501.40000000,0.37764496,1695146799367,1695233199367,2235238,2235246,9
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573235306,1689659635306,-1,-1,0
GASBTC,0.00000090,0.943,0.00009967,0.00009550,0.00009630,20.00000000,0.00009620,115.60000000,0.00009650,29.90000000,0.00009540,0.00010640,0.00009380,156504.20000000,15.59929612,1695146799973,1695233199973,20809945,20814423,4479
BNBETH,0.00070000,0.531,0.13238236,0.13180000,0.13250000,0.93000000,0.13240000,14.16900000,0.13250000,2.31500000,0.13180000,0.13300000,0.13160000,3553.18300000,470.37873720,1695146800169,1695233200169,56306970,56312015,5046
BTCUSDT,31.94000000,0.118,27128.43708162,27159.30000000,27191.24000000,0.00164000,27191.23000000,2.31749000,27191.24000000,3.53737000,27159.30000000,27388.63000000,26936.79000000,29121.39456000,790017920.04984710,1695146803282,1695233203282,3215900109,3216669172,769064
ETHUSDT,-16.99000000,-1.031,1633.35987477,1647.50000000,1630.51000000,0.32330000,1630.50000000,22.66580000,1630.51000000,8.25230000,1647.50000000,1649.38000000,1618.48000000,194710.68720000,318032623.66144100,1695146803191,1695233203191,1198427926,1198761430,333505
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573235306,1689659635306,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573235306,1689659635306,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573235306,1689659635306,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573235306,1689659635306,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573235306,1689659635306,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573235306,1689659635306,-1,-1,0
WTCBTC,-0.00000004,-0.698,0.00000571,0.00000572,0.00000569,2564.00000000,0.00000569,36.00000000,0.00000572,19.00000000,0.00000573,0.00000582,0.00000565,92610.00000000,0.52918951,1695146795767,1695233195767,20187714,20188983,1270
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573235306,1689659635306,-1,-1,0
LRCBTC,-0.00000004,-0.610,0.00000654,0.00000656,0.00000652,143.00000000,0.00000651,14797.00000000,0.00000653,8942.00000000,0.00000656,0.00000658,0.00000648,233508.00000000,1.52757077,1695146800724,1695233200724,22105169,22105570,402
LRCETH,-0.00000049,-0.451,0.00010858,0.00010869,0.00010821,10.00000000,0.00010858,565.00000000,0.00010908,2174.00000000,0.00010870,0.00010871,0.00010813,7283.00000000,0.79075373,1695146795941,1695233195941,4718560,4718575,16
